,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2122,Arsenal,Aaron Ramsdale,ENG,GK,23,1998,34.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Arsenal,Ainsley Maitland-Niles,ENG,MF,23,1997,3.0,0,2,0,0.0,0.67,0.0,0.0,,30.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2122,Arsenal,Albert Sambi Lokonga,BEL,MF,21,1999,12.6,0,20,8,40.0,1.59,0.63,0.0,0.0,26.8,0,0,0,0.6,0.6,0.03,-0.6,-0.6
ENG-Premier League,2122,Arsenal,Alexandre Lacazette,FRA,FW,30,1991,19.8,4,43,12,27.9,2.17,0.61,0.05,0.17,15.4,1,2,3,8.4,6.0,0.14,-4.4,-4.0
ENG-Premier League,2122,Arsenal,Ben White,ENG,DF,23,1997,32.0,0,12,3,25.0,0.37,0.09,0.0,0.0,15.2,0,0,0,1.0,1.0,0.09,-1.0,-1.0
ENG-Premier League,2122,Arsenal,Bernd Leno,GER,GK,29,1992,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Arsenal,Bukayo Saka,ENG,"FW,MF",19,2001,33.1,11,95,29,30.5,2.87,0.88,0.09,0.31,17.1,0,2,2,10.3,8.7,0.09,0.7,0.3
ENG-Premier League,2122,Arsenal,Calum Chambers,ENG,DF,26,1995,1.9,0,2,0,0.0,1.06,0.0,0.0,,20.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1
ENG-Premier League,2122,Arsenal,Cédric Soares,POR,DF,29,1991,16.5,1,12,1,8.3,0.73,0.06,0.08,1.0,22.1,2,0,0,0.6,0.6,0.05,0.4,0.4
ENG-Premier League,2122,Arsenal,Eddie Nketiah,ENG,FW,22,1999,9.3,5,29,13,44.8,3.13,1.4,0.17,0.38,14.6,0,0,0,4.4,4.4,0.15,0.6,0.6
ENG-Premier League,2122,Arsenal,Emile Smith Rowe,ENG,"MF,FW",21,2000,21.3,10,40,23,57.5,1.87,1.08,0.25,0.43,15.8,0,0,0,6.0,6.0,0.15,4.0,4.0
ENG-Premier League,2122,Arsenal,Folarin Balogun,USA,FW,20,2001,0.8,0,3,0,0.0,3.86,0.0,0.0,,14.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2
ENG-Premier League,2122,Arsenal,Gabriel Magalhães,BRA,DF,23,1997,34.0,5,29,12,41.4,0.85,0.35,0.17,0.42,11.2,0,0,0,3.2,3.2,0.11,1.8,1.8
ENG-Premier League,2122,Arsenal,Gabriel Martinelli,BRA,"FW,MF",20,2001,20.7,6,51,15,29.4,2.47,0.73,0.1,0.33,14.7,0,1,1,7.3,6.6,0.13,-1.3,-1.6
ENG-Premier League,2122,Arsenal,Granit Xhaka,SUI,"MF,DF",28,1992,25.9,1,27,5,18.5,1.04,0.19,0.04,0.2,23.4,1,0,0,1.4,1.4,0.05,-0.4,-0.4
ENG-Premier League,2122,Arsenal,Kieran Tierney,SCO,DF,24,1997,21.3,1,15,5,33.3,0.7,0.23,0.07,0.2,20.8,0,0,0,0.6,0.6,0.04,0.4,0.4
ENG-Premier League,2122,Arsenal,Martin Ødegaard,NOR,"MF,FW",22,1998,30.9,7,53,21,39.6,1.71,0.68,0.13,0.33,21.0,12,0,0,4.8,4.8,0.09,2.2,2.2
ENG-Premier League,2122,Arsenal,Mohamed Elneny,EGY,MF,29,1992,9.0,0,8,2,25.0,0.89,0.22,0.0,0.0,26.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
ENG-Premier League,2122,Arsenal,Nicolas Pépé,CIV,"FW,MF",26,1995,7.7,1,23,7,30.4,2.97,0.91,0.04,0.14,15.1,3,0,0,2.6,2.6,0.11,-1.6,-1.6
ENG-Premier League,2122,Arsenal,Nuno Tavares,POR,DF,21,2000,13.1,1,23,2,8.7,1.76,0.15,0.04,0.5,19.8,0,0,0,1.9,1.9,0.08,-0.9,-0.9
ENG-Premier League,2122,Arsenal,Pablo Marí,ESP,DF,27,1993,2.0,0,1,0,0.0,0.5,0.0,0.0,,5.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2122,Arsenal,Pierre-Emerick Aubameyang,GAB,FW,32,1989,11.5,4,33,16,48.5,2.86,1.39,0.12,0.25,15.0,0,0,2,5.9,4.2,0.13,-1.9,-0.2
ENG-Premier League,2122,Arsenal,Reiss Nelson,ENG,FW,21,1999,0.2,0,1,0,0.0,4.5,0.0,0.0,,18.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
ENG-Premier League,2122,Arsenal,Rob Holding,ENG,DF,25,1995,9.4,1,4,1,25.0,0.43,0.11,0.25,1.0,8.4,0,0,0,0.4,0.4,0.09,0.6,0.6
ENG-Premier League,2122,Arsenal,Sead Kolašinac,BIH,DF,28,1993,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Arsenal,Takehiro Tomiyasu,JPN,DF,22,1998,18.7,0,11,2,18.2,0.59,0.11,0.0,0.0,17.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6
ENG-Premier League,2122,Arsenal,Thomas Partey,GHA,MF,28,1993,22.5,2,44,9,20.5,1.95,0.4,0.05,0.22,22.5,2,0,0,2.8,2.8,0.06,-0.8,-0.8
ENG-Premier League,2122,Aston Villa,Anwar El Ghazi,NED,"FW,MF",26,1995,4.3,1,7,2,28.6,1.63,0.47,0.0,0.0,22.3,0,1,1,1.1,0.3,0.04,-0.1,-0.3
ENG-Premier League,2122,Aston Villa,Ashley Young,ENG,"DF,FW",36,1985,13.9,0,10,3,30.0,0.72,0.22,0.0,0.0,21.2,1,0,0,0.4,0.4,0.04,-0.4,-0.4
ENG-Premier League,2122,Aston Villa,Axel Tuanzebe,COD,DF,23,1997,5.6,0,2,1,50.0,0.35,0.18,0.0,0.0,10.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1
ENG-Premier League,2122,Aston Villa,Bertrand Traoré,BFA,"MF,FW",25,1995,2.4,0,8,1,12.5,3.27,0.41,0.0,0.0,18.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ENG-Premier League,2122,Aston Villa,Calum Chambers,ENG,DF,26,1995,9.2,1,3,1,33.3,0.32,0.11,0.33,1.0,14.6,0,0,0,0.2,0.2,0.06,0.8,0.8
ENG-Premier League,2122,Aston Villa,Cameron Archer,ENG,"FW,MF",20,2001,0.3,0,1,0,0.0,3.33,0.0,0.0,,12.6,0,0,0,0.0,0.0,0.04,0.0,0.0
ENG-Premier League,2122,Aston Villa,Carney Chukwuemeka,ENG,"MF,FW",17,2003,3.3,0,4,1,25.0,1.2,0.3,0.0,0.0,17.1,0,0,0,0.6,0.6,0.16,-0.6,-0.6
ENG-Premier League,2122,Aston Villa,Danny Ings,ENG,FW,29,1992,21.1,7,48,17,35.4,2.28,0.81,0.13,0.35,13.6,0,1,1,7.1,6.3,0.13,-0.1,-0.3
ENG-Premier League,2122,Aston Villa,Douglas Luiz,BRA,MF,23,1998,30.2,2,23,8,34.8,0.76,0.27,0.09,0.25,25.3,8,0,0,2.0,2.0,0.09,0.0,0.0
ENG-Premier League,2122,Aston Villa,Emi Buendía,ARG,"MF,FW",24,1996,21.1,4,44,13,29.5,2.09,0.62,0.09,0.31,17.9,0,0,0,3.4,3.4,0.08,0.6,0.6
ENG-Premier League,2122,Aston Villa,Emiliano Martínez,ARG,GK,28,1992,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Aston Villa,Ezri Konsa,ENG,DF,23,1997,27.5,2,15,6,40.0,0.55,0.22,0.13,0.33,8.1,0,0,0,1.6,1.6,0.11,0.4,0.4
ENG-Premier League,2122,Aston Villa,Jacob Ramsey,ENG,MF,20,2001,27.4,6,34,11,32.4,1.24,0.4,0.18,0.55,18.3,0,0,0,4.0,4.0,0.12,2.0,2.0
ENG-Premier League,2122,Aston Villa,Jaden Philogene Bidace,ENG,FW,19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Aston Villa,Jed Steer,ENG,GK,28,1992,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Aston Villa,John McGinn,SCO,MF,26,1994,34.3,3,43,16,37.2,1.25,0.47,0.07,0.19,25.1,0,0,0,1.5,1.5,0.04,1.5,1.5
ENG-Premier League,2122,Aston Villa,Keinan Davis,ENG,FW,23,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2122,Aston Villa,Kortney Hause,ENG,DF,26,1995,4.4,1,2,2,100.0,0.45,0.45,0.5,0.5,10.5,0,0,0,0.1,0.1,0.06,0.9,0.9
ENG-Premier League,2122,Aston Villa,Leon Bailey,JAM,"FW,MF",23,1997,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,19.4,4,0,0,1.5,1.5,0.07,-0.5,-0.5
ENG-Premier League,2122,Aston Villa,Lucas Digne,FRA,DF,28,1993,14.1,0,9,2,22.2,0.64,0.14,0.0,0.0,18.0,1,0,0,0.5,0.5,0.06,-0.5,-0.5
