,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
ESP-La Liga,2223,Valladolid,Álvaro Aguado,ESP,MF,26,1996,34,1888,56,55.2,21.0,18,78,11,16,31,4,1.15,19,36,-17,-0.81,-0.05,21.7,36.1,-14.4,-0.68,0.04
ESP-La Liga,2223,Valladolid,Óscar Plano,ESP,"FW,MF",31,1991,33,2038,62,59.6,22.6,22,77,6,11,31,5,1.0,18,33,-15,-0.66,0.31,20.9,35.3,-14.4,-0.63,0.17
ESP-La Liga,2223,Villarreal,Alberto Del Moral,ESP,MF,22,2000,1,5,5,0.1,0.1,0,,0,1,5,1,0.0,0,0,0,0.0,-0.5,0.0,0.0,0.0,-0.6,-0.91
ESP-La Liga,2223,Villarreal,Alberto Moreno,ESP,DF,30,1992,24,1296,54,37.9,14.4,14,78,3,10,20,6,1.96,24,15,9,0.62,0.2,26.7,15.6,11.1,0.77,0.74
ESP-La Liga,2223,Villarreal,Alex Baena,ESP,"MF,FW",21,2001,35,1947,56,56.9,21.6,19,81,9,16,26,0,1.71,32,23,9,0.42,-0.19,36.3,30.3,6.0,0.28,-0.08
ESP-La Liga,2223,Villarreal,Alfonso Pedraza,ESP,DF,26,1996,26,1633,63,47.7,18.1,20,78,11,6,13,2,1.92,28,15,13,0.72,0.41,28.4,23.3,5.1,0.28,-0.06
ESP-La Liga,2223,Villarreal,Arnaut Danjuma,NED,FW,25,1997,10,479,48,14.0,5.3,6,69,2,4,16,2,1.4,4,7,-3,-0.56,-1.24,5.6,6.0,-0.5,-0.09,-0.46
ESP-La Liga,2223,Villarreal,Aïssa Mandi,ALG,DF,30,1991,21,1461,70,42.7,16.2,16,86,13,5,16,17,1.95,34,17,17,1.05,0.96,31.8,23.6,8.2,0.51,0.35
ESP-La Liga,2223,Villarreal,Carlo,ESP,MF,21,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2223,Villarreal,Carlos Romero,ESP,DF,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2223,Villarreal,Daniel Parejo,ESP,MF,33,1989,37,3285,89,96.1,36.5,37,89,33,0,,0,1.65,57,39,18,0.49,-0.17,58.9,48.3,10.6,0.29,-0.49
ESP-La Liga,2223,Villarreal,Diego Collado,ESP,FW,21,2001,2,6,3,0.2,0.1,0,,0,2,3,1,1.5,1,0,1,15.0,14.53,1.6,0.1,1.5,22.48,22.21
ESP-La Liga,2223,Villarreal,Fernando Niño,ESP,"MF,FW",21,2000,3,22,7,0.6,0.2,0,,0,3,7,2,0.0,0,0,0,0.0,-0.5,0.3,0.1,0.2,0.72,0.41
ESP-La Liga,2223,Villarreal,Filip Jørgensen,DEN,GK,20,2002,2,180,90,5.3,2.0,2,90,2,0,,24,0.5,2,3,-1,-0.5,-1.06,2.4,2.8,-0.4,-0.19,-0.53
ESP-La Liga,2223,Villarreal,Francis Coquelin,FRA,MF,31,1991,16,748,47,21.9,8.3,9,68,1,7,19,1,1.38,10,6,4,0.48,-0.02,11.0,11.2,-0.2,-0.02,-0.42
ESP-La Liga,2223,Villarreal,Gerard Moreno,ESP,FW,30,1992,21,1230,59,36.0,13.7,14,78,7,7,19,1,2.05,21,9,12,0.88,0.59,23.0,17.9,5.1,0.37,0.1
ESP-La Liga,2223,Villarreal,Gerónimo Rulli,ARG,GK,30,1992,14,1260,90,36.8,14.0,14,90,14,0,,1,1.5,15,10,5,0.36,-0.23,17.1,14.1,3.1,0.22,-0.14
ESP-La Liga,2223,Villarreal,Giovani Lo Celso,ARG,"MF,FW",26,1996,22,1126,51,32.9,12.5,14,69,2,8,21,1,1.73,21,12,9,0.72,0.33,25.4,14.1,11.4,0.91,0.89
ESP-La Liga,2223,Villarreal,Haissem Hassan,FRA,"FW,MF",20,2002,2,52,26,1.5,0.6,0,,0,2,26,13,1.5,1,0,1,1.73,1.25,0.5,1.0,-0.5,-0.87,-1.2
ESP-La Liga,2223,Villarreal,Iker Álvarez,AND,GK,21,2001,0,,,,,0,,0,0,,17,,,,,,,,,,,
ESP-La Liga,2223,Villarreal,Johan Mojica,COL,DF,29,1992,17,642,38,18.8,7.1,5,89,4,12,16,18,1.41,9,12,-3,-0.42,-1.13,7.6,13.1,-5.5,-0.77,-1.33
ESP-La Liga,2223,Villarreal,Jorge Cuenca,ESP,DF,22,1999,10,506,51,14.8,5.6,5,84,4,5,17,28,1.4,5,7,-2,-0.36,-1.0,6.8,8.8,-2.0,-0.36,-0.79
ESP-La Liga,2223,Villarreal,José Luis Morales,ESP,"FW,MF",35,1987,29,1211,42,35.4,13.5,11,74,4,18,22,1,1.52,20,11,9,0.67,0.26,20.2,17.3,2.8,0.21,-0.15
ESP-La Liga,2223,Villarreal,Juan Foyth,ARG,DF,24,1998,24,1958,82,57.3,21.8,22,86,17,2,36,3,1.92,41,24,17,0.78,0.66,36.7,30.1,6.6,0.3,-0.01
ESP-La Liga,2223,Villarreal,Kiko Femenía,ESP,DF,31,1991,20,1133,57,33.1,12.6,13,78,6,7,17,9,1.45,13,14,-1,-0.08,-0.87,17.9,16.0,1.9,0.15,-0.24
ESP-La Liga,2223,Villarreal,Mamadou Fall,SEN,DF,19,2002,1,30,30,0.9,0.3,0,,0,1,30,0,3.0,1,0,1,3.0,2.52,1.8,0.2,1.6,4.8,4.53
ESP-La Liga,2223,Villarreal,Manu Morlanes,ESP,MF,23,1999,4,158,40,4.6,1.8,2,70,0,2,10,11,2.0,3,4,-1,-0.57,-1.12,1.8,2.7,-0.9,-0.51,-0.86
ESP-La Liga,2223,Villarreal,Manu Trigueros,ESP,MF,30,1991,23,828,36,24.2,9.2,8,64,2,15,21,7,1.87,17,8,9,0.98,0.63,13.9,14.6,-0.7,-0.08,-0.51
ESP-La Liga,2223,Villarreal,Nicolas Jackson,SEN,FW,21,2001,26,1598,61,46.7,17.8,16,78,5,10,35,3,1.62,35,18,17,0.96,0.86,31.8,21.1,10.7,0.6,0.55
ESP-La Liga,2223,Villarreal,Pascu,ESP,"DF,FW",19,2003,2,10,5,0.3,0.1,0,,0,2,5,8,2.0,1,0,1,9.0,8.52,0.2,0.5,-0.3,-2.78,-3.1
ESP-La Liga,2223,Villarreal,Pau Torres,ESP,DF,25,1997,34,3054,90,89.3,33.9,34,90,33,0,,1,1.71,55,35,20,0.59,0.84,56.8,43.5,13.3,0.39,0.75
ESP-La Liga,2223,Villarreal,Pepe Reina,ESP,GK,39,1982,22,1980,90,57.9,22.0,22,90,22,0,,12,1.91,42,27,15,0.68,0.43,42.1,33.0,9.1,0.41,0.24
ESP-La Liga,2223,Villarreal,Pervis Estupiñán,ECU,"DF,MF",24,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2223,Villarreal,Ramón Terrats,ESP,MF,21,2000,16,816,51,23.9,9.1,11,65,0,5,21,2,2.0,10,9,1,0.11,-0.51,13.7,11.8,2.0,0.22,-0.12
ESP-La Liga,2223,Villarreal,Raúl Albiol,ESP,DF,36,1985,25,2119,85,62.0,23.5,24,88,22,1,15,2,1.52,29,23,6,0.25,-0.64,33.8,27.7,6.0,0.26,-0.14
ESP-La Liga,2223,Villarreal,Samuel Chukwueze,NGA,"FW,MF",23,1999,37,2339,63,68.4,26.0,27,77,9,10,25,1,1.73,41,33,8,0.31,-0.61,42.0,34.9,7.2,0.28,-0.11
ESP-La Liga,2223,Villarreal,Sergio Carreira,ESP,"DF,MF",21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2223,Villarreal,Yeremi Pino,ESP,"FW,MF",19,2002,36,2447,68,71.5,27.2,31,75,8,5,27,1,1.75,42,31,11,0.4,-0.34,44.9,35.7,9.2,0.34,0.1
ESP-La Liga,2223,Villarreal,Étienne Capoue,FRA,MF,34,1988,28,1955,70,57.2,21.7,22,82,12,6,25,1,1.5,33,26,7,0.32,-0.41,35.1,26.5,8.6,0.4,0.2
