,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,Aaron Zehnter,GER,DF,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2223,Augsburg,André Hahn,GER,"FW,MF",31,1990,7,4,391,4.3,2,0,2,2,0,0,1,0,0.4,0.4,0.0,0.4,3,8,10,0.46,0.0,0.46,0.46,0.46,0.09,0.01,0.1,0.09,0.1
GER-Bundesliga,2223,Augsburg,Arne Engels,BEL,MF,18,2003,18,18,1440,16.0,0,3,3,0,0,0,5,0,0.6,0.6,2.2,2.8,9,57,25,0.0,0.19,0.19,0.0,0.19,0.04,0.14,0.17,0.04,0.17
GER-Bundesliga,2223,Augsburg,Arne Maier,GER,MF,23,1999,30,24,1960,21.8,5,1,6,5,0,0,3,0,1.6,1.6,1.8,3.4,32,66,77,0.23,0.05,0.28,0.23,0.28,0.07,0.08,0.16,0.07,0.16
GER-Bundesliga,2223,Augsburg,Carlos Gruezo,ECU,MF,27,1995,13,12,961,10.7,0,0,0,0,0,0,5,0,0.0,0.0,0.3,0.3,2,29,5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03
GER-Bundesliga,2223,Augsburg,Daniel Caligiuri,ITA,"DF,MF",34,1988,13,2,290,3.2,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.8,7,16,8,0.31,0.0,0.31,0.31,0.31,0.12,0.12,0.24,0.12,0.24
GER-Bundesliga,2223,Augsburg,David Čolina,CRO,"DF,FW",22,2000,7,0,166,1.8,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.6,2,6,7,0.54,0.0,0.54,0.54,0.54,0.24,0.07,0.31,0.24,0.31
GER-Bundesliga,2223,Augsburg,Dion Drena Beljo,CRO,FW,20,2002,18,16,1128,12.5,3,2,5,3,0,0,2,0,1.6,1.6,1.7,3.2,14,15,42,0.24,0.16,0.4,0.24,0.4,0.12,0.13,0.26,0.12,0.26
GER-Bundesliga,2223,Augsburg,Elvis Rexhbeçaj,KVX,MF,24,1997,31,30,2524,28.0,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,14,89,20,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
GER-Bundesliga,2223,Augsburg,Ermedin Demirović,BIH,"FW,MF",24,1998,30,30,2366,26.3,8,4,12,7,1,1,7,1,7.5,6.8,3.5,10.3,26,48,120,0.3,0.15,0.46,0.27,0.42,0.29,0.13,0.42,0.26,0.39
GER-Bundesliga,2223,Augsburg,Florian Niederlechner,GER,"FW,MF",31,1990,14,10,910,10.1,4,1,5,4,0,0,1,0,2.9,2.9,0.4,3.3,1,18,51,0.4,0.1,0.49,0.4,0.49,0.28,0.04,0.33,0.28,0.33
GER-Bundesliga,2223,Augsburg,Frederik Winther,DEN,DF,21,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1
GER-Bundesliga,2223,Augsburg,Fredrik Jensen,FIN,"FW,MF",24,1997,20,8,924,10.3,2,1,3,2,0,0,1,0,1.8,1.8,1.4,3.2,3,24,62,0.19,0.1,0.29,0.19,0.29,0.17,0.13,0.31,0.17,0.31
GER-Bundesliga,2223,Augsburg,Iago,BRA,"DF,MF",25,1997,22,19,1600,17.8,0,2,2,0,0,0,6,1,0.4,0.4,1.1,1.5,27,53,49,0.0,0.11,0.11,0.0,0.11,0.02,0.06,0.08,0.02,0.08
GER-Bundesliga,2223,Augsburg,Irvin Cardona,MLT,"MF,FW",24,1997,10,0,318,3.5,1,0,1,1,0,0,2,0,1.9,1.9,0.1,1.9,9,3,17,0.28,0.0,0.28,0.28,0.28,0.52,0.03,0.55,0.52,0.55
GER-Bundesliga,2223,Augsburg,Jeffrey Gouweleeuw,NED,DF,31,1991,32,32,2795,31.1,0,1,1,0,0,0,12,0,1.4,1.4,2.1,3.6,18,80,10,0.0,0.03,0.03,0.0,0.03,0.05,0.07,0.12,0.05,0.12
GER-Bundesliga,2223,Augsburg,Julian Baumgartlinger,AUT,MF,34,1988,16,3,554,6.2,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,1,25,3,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
GER-Bundesliga,2223,Augsburg,Kelvin Yeboah,ITA,"FW,MF",22,2000,13,3,353,3.9,1,1,2,1,0,0,0,0,1.4,1.4,0.4,1.8,13,6,25,0.25,0.25,0.51,0.25,0.51,0.36,0.1,0.46,0.36,0.46
GER-Bundesliga,2223,Augsburg,Lukas Petkov,BUL,"MF,FW",21,2000,7,0,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
GER-Bundesliga,2223,Augsburg,Mads Pedersen,DEN,"DF,MF",25,1996,28,20,1838,20.4,0,0,0,0,0,0,6,0,0.4,0.4,0.9,1.3,35,46,51,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.06,0.02,0.06
GER-Bundesliga,2223,Augsburg,Maximilian Bauer,GER,DF,22,2000,27,20,1846,20.5,0,1,1,0,0,0,8,0,1.6,1.6,0.4,2.0,11,40,2,0.0,0.05,0.05,0.0,0.05,0.08,0.02,0.1,0.08,0.1
GER-Bundesliga,2223,Augsburg,Mergim Berisha,GER,FW,24,1998,23,20,1679,18.7,9,4,13,6,3,4,9,1,8.1,5.0,2.7,7.6,20,28,99,0.48,0.21,0.7,0.32,0.54,0.43,0.14,0.58,0.27,0.41
