league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
ITA-Serie A,2223,2022-08-13 Lecce-Inter,Serie A,1,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A,,6b610c5c
ITA-Serie A,2223,2022-08-13 Milan-Udinese,Serie A,1,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A,,bb758ef8
ITA-Serie A,2223,2022-08-13 Monza-Torino,Serie A,1,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10739,U-Power Stadium,Maurizio Mariani,/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A,,5f0a8b10
ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,Serie A,1,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,,185d9e37
ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,Serie A,1,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A,,3ed8bdff
ITA-Serie A,2223,2022-08-14 Lazio-Bologna,Serie A,1,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45000,Stadio Olimpico,Luca Massimi,/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A,,c5003e68
ITA-Serie A,2223,2022-08-14 Salernitana-Roma,Serie A,1,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26006,Stadio Arechi,Simone Sozza,/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A,,ff9838f3
ITA-Serie A,2223,2022-08-14 Spezia-Empoli,Serie A,1,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A,,26520b87
ITA-Serie A,2223,2022-08-15 Hellas Verona-Napoli,Serie A,1,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A,,3e0bda8d
ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,Serie A,1,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A,,59f4c84f
ITA-Serie A,2223,2022-08-20 Inter-Spezia,Serie A,2,Sat,2022-08-20,20:45,Inter,2.1,3–0,0.5,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,/en/matches/33ff40ce/Internazionale-Spezia-August-20-2022-Serie-A,,33ff40ce
ITA-Serie A,2223,2022-08-20 Sassuolo-Lecce,Serie A,2,Sat,2022-08-20,20:45,Sassuolo,0.6,1–0,0.5,Lecce,9219,Mapei Stadium - Città del Tricolore,Andrea Colombo,/en/matches/4dbb8f95/Sassuolo-Lecce-August-20-2022-Serie-A,,4dbb8f95
ITA-Serie A,2223,2022-08-20 Torino-Lazio,Serie A,2,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,/en/matches/a1ed12f1/Torino-Lazio-August-20-2022-Serie-A,,a1ed12f1
ITA-Serie A,2223,2022-08-20 Udinese-Salernitana,Serie A,2,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17054,Dacia Arena,Gianluca Aureliano,/en/matches/c0a89a83/Udinese-Salernitana-August-20-2022-Serie-A,,c0a89a83
ITA-Serie A,2223,2022-08-21 Atalanta-Milan,Serie A,2,Sun,2022-08-21,20:45,Atalanta,0.5,1–1,1.3,Milan,19216,Gewiss Stadium,Fabio Maresca,/en/matches/dbd39404/Atalanta-Milan-August-21-2022-Serie-A,,dbd39404
ITA-Serie A,2223,2022-08-21 Bologna-Hellas Verona,Serie A,2,Sun,2022-08-21,20:45,Bologna,0.8,1–1,1.9,Hellas Verona,17725,Stadio Renato Dall'Ara,Matteo Marcenaro,/en/matches/aa8df669/Bologna-Hellas-Verona-August-21-2022-Serie-A,,aa8df669
ITA-Serie A,2223,2022-08-21 Empoli-Fiorentina,Serie A,2,Sun,2022-08-21,18:30,Empoli,0.4,0–0,0.7,Fiorentina,10411,Stadio Carlo Castellani,Matteo Marchetti,/en/matches/39edb8e7/Empoli-Fiorentina-August-21-2022-Serie-A,,39edb8e7
ITA-Serie A,2223,2022-08-21 Napoli-Monza,Serie A,2,Sun,2022-08-21,18:30,Napoli,2.0,4–0,0.1,Monza,36559,Stadio Diego Armando Maradona,Francesco Fourneau,/en/matches/a61a4534/Napoli-Monza-August-21-2022-Serie-A,,a61a4534
ITA-Serie A,2223,2022-08-22 Roma-Cremonese,Serie A,2,Mon,2022-08-22,18:30,Roma,2.7,1–0,0.7,Cremonese,60859,Stadio Olimpico,Luca Massimi,/en/matches/836b2832/Roma-Cremonese-August-22-2022-Serie-A,,836b2832
ITA-Serie A,2223,2022-08-22 Sampdoria-Juventus,Serie A,2,Mon,2022-08-22,20:45,Sampdoria,0.9,0–0,0.8,Juventus,27573,Stadio Comunale Luigi Ferraris,Rosario Abisso,/en/matches/3181dd80/Sampdoria-Juventus-August-22-2022-Serie-A,,3181dd80
ITA-Serie A,2223,2022-08-26 Lazio-Inter,Serie A,3,Fri,2022-08-26,20:45,Lazio,1.1,3–1,1.5,Inter,52500,Stadio Olimpico,Michael Fabbri,/en/matches/e5be6a0a/Lazio-Internazionale-August-26-2022-Serie-A,,e5be6a0a
ITA-Serie A,2223,2022-08-26 Monza-Udinese,Serie A,3,Fri,2022-08-26,18:30,Monza,1.5,1–2,1.7,Udinese,9955,U-Power Stadium,Marco Di Bello,/en/matches/0210ca9e/Monza-Udinese-August-26-2022-Serie-A,,0210ca9e
ITA-Serie A,2223,2022-08-27 Cremonese-Torino,Serie A,3,Sat,2022-08-27,18:30,Cremonese,0.8,1–2,1.7,Torino,11572,Stadio Giovanni Zini,Paolo Valeri,/en/matches/ff16ac21/Cremonese-Torino-August-27-2022-Serie-A,,ff16ac21
ITA-Serie A,2223,2022-08-27 Juventus-Roma,Serie A,3,Sat,2022-08-27,18:30,Juventus,0.6,1–1,1.3,Roma,41003,Allianz Stadium,Massimiliano Irrati,/en/matches/23a2abe6/Juventus-Roma-August-27-2022-Serie-A,,23a2abe6
ITA-Serie A,2223,2022-08-27 Milan-Bologna,Serie A,3,Sat,2022-08-27,20:45,Milan,1.9,2–0,0.5,Bologna,70430,Stadio Giuseppe Meazza,Gianluca Manganiello,/en/matches/04907750/Milan-Bologna-August-27-2022-Serie-A,,04907750
ITA-Serie A,2223,2022-08-27 Spezia-Sassuolo,Serie A,3,Sat,2022-08-27,20:45,Spezia,1.2,2–2,2.8,Sassuolo,6500,Stadio Alberto Picco,Francesco Cosso,/en/matches/c4e3939b/Spezia-Sassuolo-August-27-2022-Serie-A,,c4e3939b
ITA-Serie A,2223,2022-08-28 Fiorentina-Napoli,Serie A,3,Sun,2022-08-28,20:45,Fiorentina,0.5,0–0,1.7,Napoli,32286,Stadio Artemio Franchi,Livio Marinelli,/en/matches/e2bb77f0/Fiorentina-Napoli-August-28-2022-Serie-A,,e2bb77f0
ITA-Serie A,2223,2022-08-28 Hellas Verona-Atalanta,Serie A,3,Sun,2022-08-28,18:30,Hellas Verona,0.5,0–1,0.8,Atalanta,16106,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,/en/matches/c5d6e8c5/Hellas-Verona-Atalanta-August-28-2022-Serie-A,,c5d6e8c5
ITA-Serie A,2223,2022-08-28 Lecce-Empoli,Serie A,3,Sun,2022-08-28,20:45,Lecce,0.9,1–1,0.4,Empoli,23941,Stadio Comunale Via Del Mare,Alberto Santoro,/en/matches/b39f604a/Lecce-Empoli-August-28-2022-Serie-A,,b39f604a
ITA-Serie A,2223,2022-08-28 Salernitana-Sampdoria,Serie A,3,Sun,2022-08-28,18:30,Salernitana,1.7,4–0,1.8,Sampdoria,19116,Stadio Arechi,Davide Massa,/en/matches/3aeb5a7a/Salernitana-Sampdoria-August-28-2022-Serie-A,,3aeb5a7a
ITA-Serie A,2223,2022-08-30 Inter-Cremonese,Serie A,4,Tue,2022-08-30,20:45,Inter,2.2,3–1,1.2,Cremonese,70750,Stadio Giuseppe Meazza,Francesco Fourneau,/en/matches/20916b65/Internazionale-Cremonese-August-30-2022-Serie-A,,20916b65
ITA-Serie A,2223,2022-08-30 Roma-Monza,Serie A,4,Tue,2022-08-30,20:45,Roma,1.8,3–0,0.9,Monza,60669,Stadio Olimpico,Marco Piccinini,/en/matches/707c399a/Roma-Monza-August-30-2022-Serie-A,,707c399a
ITA-Serie A,2223,2022-08-30 Sassuolo-Milan,Serie A,4,Tue,2022-08-30,18:30,Sassuolo,1.1,0–0,0.7,Milan,18053,Mapei Stadium - Città del Tricolore,Giovanni Ayroldi,/en/matches/0341a612/Sassuolo-Milan-August-30-2022-Serie-A,,0341a612
ITA-Serie A,2223,2022-08-31 Empoli-Hellas Verona,Serie A,4,Wed,2022-08-31,18:30,Empoli,1.1,1–1,0.6,Hellas Verona,7269,Stadio Carlo Castellani,Marco Serra,/en/matches/523392a5/Empoli-Hellas-Verona-August-31-2022-Serie-A,,523392a5
ITA-Serie A,2223,2022-08-31 Juventus-Spezia,Serie A,4,Wed,2022-08-31,20:45,Juventus,0.9,2–0,0.2,Spezia,35709,Allianz Stadium,Andrea Colombo,/en/matches/467ad271/Juventus-Spezia-August-31-2022-Serie-A,,467ad271
ITA-Serie A,2223,2022-08-31 Napoli-Lecce,Serie A,4,Wed,2022-08-31,20:45,Napoli,1.7,1–1,1.1,Lecce,37573,Stadio Diego Armando Maradona,Matteo Marcenaro,/en/matches/d2dba35c/Napoli-Lecce-August-31-2022-Serie-A,,d2dba35c
ITA-Serie A,2223,2022-08-31 Sampdoria-Lazio,Serie A,4,Wed,2022-08-31,18:30,Sampdoria,0.8,1–1,1.5,Lazio,18499,Stadio Comunale Luigi Ferraris,Gianluca Aureliano,/en/matches/22235a4e/Sampdoria-Lazio-August-31-2022-Serie-A,,22235a4e
ITA-Serie A,2223,2022-08-31 Udinese-Fiorentina,Serie A,4,Wed,2022-08-31,18:30,Udinese,1.3,1–0,0.7,Fiorentina,19684,Dacia Arena,Maurizio Mariani,/en/matches/3b87ef37/Udinese-Fiorentina-August-31-2022-Serie-A,,3b87ef37
ITA-Serie A,2223,2022-09-01 Atalanta-Torino,Serie A,4,Thu,2022-09-01,20:45,Atalanta,2.9,3–1,0.4,Torino,17928,Gewiss Stadium,Marco Di Bello,/en/matches/a8d5d5fc/Atalanta-Torino-September-1-2022-Serie-A,,a8d5d5fc
ITA-Serie A,2223,2022-09-01 Bologna-Salernitana,Serie A,4,Thu,2022-09-01,20:45,Bologna,1.8,1–1,1.4,Salernitana,19787,Stadio Renato Dall'Ara,Davide Ghersini,/en/matches/df30d258/Bologna-Salernitana-September-1-2022-Serie-A,,df30d258
ITA-Serie A,2223,2022-09-03 Fiorentina-Juventus,Serie A,5,Sat,2022-09-03,15:00,Fiorentina,2.1,1–1,0.9,Juventus,36550,Stadio Artemio Franchi,Daniele Doveri,/en/matches/cc24f0a1/Fiorentina-Juventus-September-3-2022-Serie-A,,cc24f0a1
ITA-Serie A,2223,2022-09-03 Lazio-Napoli,Serie A,5,Sat,2022-09-03,20:45,Lazio,0.3,1–2,2.1,Napoli,39000,Stadio Olimpico,Simone Sozza,/en/matches/59d945a1/Lazio-Napoli-September-3-2022-Serie-A,,59d945a1
ITA-Serie A,2223,2022-09-03 Milan-Inter,Serie A,5,Sat,2022-09-03,18:00,Milan,1.3,3–2,1.8,Inter,75475,Stadio Giuseppe Meazza,Daniele Chiffi,/en/matches/32e63a16/Derby-della-Madonnina-Milan-Internazionale-September-3-2022-Serie-A,,32e63a16
ITA-Serie A,2223,2022-09-04 Cremonese-Sassuolo,Serie A,5,Sun,2022-09-04,12:30,Cremonese,0.4,0–0,1.5,Sassuolo,9105,Stadio Giovanni Zini,Luca Pairetto,/en/matches/923a83e0/Cremonese-Sassuolo-September-4-2022-Serie-A,,923a83e0
ITA-Serie A,2223,2022-09-04 Hellas Verona-Sampdoria,Serie A,5,Sun,2022-09-04,18:00,Hellas Verona,2.5,2–1,0.8,Sampdoria,16675,Stadio Marc'Antonio Bentegodi,Paolo Valeri,/en/matches/c8543255/Hellas-Verona-Sampdoria-September-4-2022-Serie-A,,c8543255
ITA-Serie A,2223,2022-09-04 Spezia-Bologna,Serie A,5,Sun,2022-09-04,15:00,Spezia,0.9,2–2,0.9,Bologna,7555,Stadio Alberto Picco,Antonio Giua,/en/matches/250097f3/Spezia-Bologna-September-4-2022-Serie-A,,250097f3
ITA-Serie A,2223,2022-09-04 Udinese-Roma,Serie A,5,Sun,2022-09-04,20:45,Udinese,1.2,4–0,0.8,Roma,24108,Dacia Arena,Fabio Maresca,/en/matches/7de0fe74/Udinese-Roma-September-4-2022-Serie-A,,7de0fe74
ITA-Serie A,2223,2022-09-05 Monza-Atalanta,Serie A,5,Mon,2022-09-05,18:30,Monza,0.6,0–2,1.9,Atalanta,11970,U-Power Stadium,Juan Sacchi,/en/matches/c859cc09/Monza-Atalanta-September-5-2022-Serie-A,,c859cc09
ITA-Serie A,2223,2022-09-05 Salernitana-Empoli,Serie A,5,Mon,2022-09-05,18:30,Salernitana,1.3,2–2,0.9,Empoli,18173,Stadio Arechi,Rosario Abisso,/en/matches/36c3d84d/Salernitana-Empoli-September-5-2022-Serie-A,,36c3d84d
ITA-Serie A,2223,2022-09-05 Torino-Lecce,Serie A,5,Mon,2022-09-05,20:45,Torino,1.1,1–0,0.3,Lecce,19087,Stadio Olimpico di Torino,Manuel Volpi,/en/matches/def4d163/Torino-Lecce-September-5-2022-Serie-A,,def4d163
ITA-Serie A,2223,2022-09-10 Inter-Torino,Serie A,6,Sat,2022-09-10,18:00,Inter,1.5,1–0,0.7,Torino,69134,Stadio Giuseppe Meazza,Giovanni Ayroldi,/en/matches/c85b25b5/Internazionale-Torino-September-10-2022-Serie-A,,c85b25b5
ITA-Serie A,2223,2022-09-10 Napoli-Spezia,Serie A,6,Sat,2022-09-10,15:00,Napoli,2.2,1–0,0.5,Spezia,32839,Stadio Diego Armando Maradona,Alberto Santoro,/en/matches/b8081607/Napoli-Spezia-September-10-2022-Serie-A,,b8081607
ITA-Serie A,2223,2022-09-10 Sampdoria-Milan,Serie A,6,Sat,2022-09-10,20:45,Sampdoria,0.7,1–2,1.7,Milan,23049,Stadio Comunale Luigi Ferraris,Michael Fabbri,/en/matches/4faaa6ec/Sampdoria-Milan-September-10-2022-Serie-A,,4faaa6ec
ITA-Serie A,2223,2022-09-11 Atalanta-Cremonese,Serie A,6,Sun,2022-09-11,12:30,Atalanta,0.7,1–1,0.6,Cremonese,18252,Gewiss Stadium,Andrea Colombo,/en/matches/38a5cf6c/Atalanta-Cremonese-September-11-2022-Serie-A,,38a5cf6c
ITA-Serie A,2223,2022-09-11 Bologna-Fiorentina,Serie A,6,Sun,2022-09-11,15:00,Bologna,0.6,2–1,1.3,Fiorentina,18901,Stadio Renato Dall'Ara,Daniele Orsato,/en/matches/14c086eb/Derby-dellAppennino-Bologna-Fiorentina-September-11-2022-Serie-A,,14c086eb
ITA-Serie A,2223,2022-09-11 Juventus-Salernitana,Serie A,6,Sun,2022-09-11,20:45,Juventus,1.9,2–2,1.6,Salernitana,35097,Allianz Stadium,Matteo Marcenaro,/en/matches/d30f4885/Juventus-Salernitana-September-11-2022-Serie-A,,d30f4885
ITA-Serie A,2223,2022-09-11 Lazio-Hellas Verona,Serie A,6,Sun,2022-09-11,18:00,Lazio,1.1,2–0,0.3,Hellas Verona,38000,Stadio Olimpico,Massimiliano Irrati,/en/matches/b372a1ce/Lazio-Hellas-Verona-September-11-2022-Serie-A,,b372a1ce
ITA-Serie A,2223,2022-09-11 Lecce-Monza,Serie A,6,Sun,2022-09-11,15:00,Lecce,0.9,1–1,0.1,Monza,23391,Stadio Comunale Via Del Mare,Luca Pairetto,/en/matches/1a32ed3c/Lecce-Monza-September-11-2022-Serie-A,,1a32ed3c
ITA-Serie A,2223,2022-09-11 Sassuolo-Udinese,Serie A,6,Sun,2022-09-11,15:00,Sassuolo,0.5,1–3,2.1,Udinese,8694,Mapei Stadium - Città del Tricolore,Giacomo Camplone,/en/matches/b76dac48/Sassuolo-Udinese-September-11-2022-Serie-A,,b76dac48
ITA-Serie A,2223,2022-09-12 Empoli-Roma,Serie A,6,Mon,2022-09-12,20:45,Empoli,1.1,1–2,3.0,Roma,4560,Stadio Carlo Castellani,Livio Marinelli,/en/matches/6c06536f/Empoli-Roma-September-12-2022-Serie-A,,6c06536f
ITA-Serie A,2223,2022-09-16 Salernitana-Lecce,Serie A,7,Fri,2022-09-16,20:45,Salernitana,1.2,1–2,1.5,Lecce,19488,Stadio Arechi,Daniele Doveri,/en/matches/e289cc52/Salernitana-Lecce-September-16-2022-Serie-A,,e289cc52
ITA-Serie A,2223,2022-09-17 Bologna-Empoli,Serie A,7,Sat,2022-09-17,15:00,Bologna,1.6,0–1,1.6,Empoli,15670,Stadio Renato Dall'Ara,Manuel Volpi,/en/matches/be773055/Bologna-Empoli-September-17-2022-Serie-A,,be773055
ITA-Serie A,2223,2022-09-17 Spezia-Sampdoria,Serie A,7,Sat,2022-09-17,18:00,Spezia,0.7,2–1,0.9,Sampdoria,10000,Stadio Alberto Picco,Simone Sozza,/en/matches/4005dac1/Spezia-Sampdoria-September-17-2022-Serie-A,,4005dac1
ITA-Serie A,2223,2022-09-17 Torino-Sassuolo,Serie A,7,Sat,2022-09-17,20:45,Torino,0.7,0–1,0.4,Sassuolo,14822,Stadio Olimpico di Torino,Niccolò Baroni,/en/matches/a7f11ac3/Torino-Sassuolo-September-17-2022-Serie-A,,a7f11ac3
ITA-Serie A,2223,2022-09-18 Cremonese-Lazio,Serie A,7,Sun,2022-09-18,15:00,Cremonese,1.3,0–4,3.1,Lazio,12991,Stadio Giovanni Zini,Daniele Orsato,/en/matches/1c27f475/Cremonese-Lazio-September-18-2022-Serie-A,,1c27f475
ITA-Serie A,2223,2022-09-18 Fiorentina-Hellas Verona,Serie A,7,Sun,2022-09-18,15:00,Fiorentina,2.4,2–0,0.6,Hellas Verona,32216,Stadio Artemio Franchi,Antonio Rapuano,/en/matches/c48d99be/Fiorentina-Hellas-Verona-September-18-2022-Serie-A,,c48d99be
ITA-Serie A,2223,2022-09-18 Milan-Napoli,Serie A,7,Sun,2022-09-18,20:45,Milan,2.6,1–2,1.4,Napoli,72573,Stadio Giuseppe Meazza,Maurizio Mariani,/en/matches/6f318e21/Milan-Napoli-September-18-2022-Serie-A,,6f318e21
ITA-Serie A,2223,2022-09-18 Monza-Juventus,Serie A,7,Sun,2022-09-18,15:00,Monza,2.5,1–0,0.9,Juventus,12878,U-Power Stadium,Fabio Maresca,/en/matches/7f6b336d/Monza-Juventus-September-18-2022-Serie-A,,7f6b336d
ITA-Serie A,2223,2022-09-18 Roma-Atalanta,Serie A,7,Sun,2022-09-18,18:00,Roma,2.4,0–1,0.2,Atalanta,61335,Stadio Olimpico,Daniele Chiffi,/en/matches/7f3c30b2/Roma-Atalanta-September-18-2022-Serie-A,,7f3c30b2
ITA-Serie A,2223,2022-09-18 Udinese-Inter,Serie A,7,Sun,2022-09-18,12:30,Udinese,1.6,3–1,1.1,Inter,22475,Dacia Arena,Paolo Valeri,/en/matches/f5b53307/Udinese-Internazionale-September-18-2022-Serie-A,,f5b53307
ITA-Serie A,2223,2022-10-01 Empoli-Milan,Serie A,8,Sat,2022-10-01,20:45,Empoli,1.1,1–3,2.3,Milan,15497,Stadio Carlo Castellani,Gianluca Aureliano,/en/matches/41b8fcde/Empoli-Milan-October-1-2022-Serie-A,,41b8fcde
ITA-Serie A,2223,2022-10-01 Inter-Roma,Serie A,8,Sat,2022-10-01,18:00,Inter,1.0,1–2,1.0,Roma,75389,Stadio Giuseppe Meazza,Davide Massa,/en/matches/e8065e11/Internazionale-Roma-October-1-2022-Serie-A,,e8065e11
ITA-Serie A,2223,2022-10-01 Napoli-Torino,Serie A,8,Sat,2022-10-01,15:00,Napoli,1.6,3–1,1.0,Torino,35953,Stadio Diego Armando Maradona,Luca Massimi,/en/matches/5b1b5139/Napoli-Torino-October-1-2022-Serie-A,,5b1b5139
ITA-Serie A,2223,2022-10-02 Atalanta-Fiorentina,Serie A,8,Sun,2022-10-02,18:00,Atalanta,1.3,1–0,0.7,Fiorentina,18265,Gewiss Stadium,Massimiliano Irrati,/en/matches/1824b24f/Atalanta-Fiorentina-October-2-2022-Serie-A,,1824b24f
ITA-Serie A,2223,2022-10-02 Juventus-Bologna,Serie A,8,Sun,2022-10-02,20:45,Juventus,1.8,3–0,0.4,Bologna,34662,Allianz Stadium,Rosario Abisso,/en/matches/1b6d7e97/Juventus-Bologna-October-2-2022-Serie-A,,1b6d7e97
ITA-Serie A,2223,2022-10-02 Lazio-Spezia,Serie A,8,Sun,2022-10-02,12:30,Lazio,2.3,4–0,1.1,Spezia,41000,Stadio Olimpico,Juan Sacchi,/en/matches/8f0179e7/Lazio-Spezia-October-2-2022-Serie-A,,8f0179e7
ITA-Serie A,2223,2022-10-02 Lecce-Cremonese,Serie A,8,Sun,2022-10-02,15:00,Lecce,1.0,1–1,1.6,Cremonese,23377,Stadio Comunale Via Del Mare,Livio Marinelli,/en/matches/d2384d3e/Lecce-Cremonese-October-2-2022-Serie-A,,d2384d3e
ITA-Serie A,2223,2022-10-02 Sampdoria-Monza,Serie A,8,Sun,2022-10-02,15:00,Sampdoria,0.1,0–3,1.4,Monza,19806,Stadio Comunale Luigi Ferraris,Giovanni Ayroldi,/en/matches/f369742b/Sampdoria-Monza-October-2-2022-Serie-A,,f369742b
ITA-Serie A,2223,2022-10-02 Sassuolo-Salernitana,Serie A,8,Sun,2022-10-02,15:00,Sassuolo,3.2,5–0,0.5,Salernitana,15786,Mapei Stadium - Città del Tricolore,Maria Sole Ferrieri Caputi,/en/matches/1ad969fe/Sassuolo-Salernitana-October-2-2022-Serie-A,,1ad969fe
ITA-Serie A,2223,2022-10-03 Hellas Verona-Udinese,Serie A,8,Mon,2022-10-03,20:45,Hellas Verona,0.3,1–2,1.8,Udinese,15352,Stadio Marc'Antonio Bentegodi,Daniele Minelli,/en/matches/d2d715e4/Hellas-Verona-Udinese-October-3-2022-Serie-A,,d2d715e4
ITA-Serie A,2223,2022-10-08 Bologna-Sampdoria,Serie A,9,Sat,2022-10-08,20:45,Bologna,0.8,1–1,0.6,Sampdoria,20871,Stadio Renato Dall'Ara,Marco Piccinini,/en/matches/9d6251c0/Bologna-Sampdoria-October-8-2022-Serie-A,,9d6251c0
ITA-Serie A,2223,2022-10-08 Milan-Juventus,Serie A,9,Sat,2022-10-08,18:00,Milan,2.2,2–0,0.8,Juventus,75530,Stadio Giuseppe Meazza,Daniele Orsato,/en/matches/2336a6d4/Milan-Juventus-October-8-2022-Serie-A,,2336a6d4
ITA-Serie A,2223,2022-10-08 Sassuolo-Inter,Serie A,9,Sat,2022-10-08,15:00,Sassuolo,1.2,1–2,2.3,Inter,17574,Mapei Stadium - Città del Tricolore,Simone Sozza,/en/matches/bf6846ad/Sassuolo-Internazionale-October-8-2022-Serie-A,,bf6846ad
ITA-Serie A,2223,2022-10-09 Cremonese-Napoli,Serie A,9,Sun,2022-10-09,18:00,Cremonese,0.8,1–4,4.1,Napoli,14238,Stadio Giovanni Zini,Rosario Abisso,/en/matches/dd82988b/Cremonese-Napoli-October-9-2022-Serie-A,,dd82988b
ITA-Serie A,2223,2022-10-09 Monza-Spezia,Serie A,9,Sun,2022-10-09,15:00,Monza,0.7,2–0,0.5,Spezia,12094,U-Power Stadium,Daniele Perenzoni,/en/matches/08f73f52/Monza-Spezia-October-9-2022-Serie-A,,08f73f52
ITA-Serie A,2223,2022-10-09 Roma-Lecce,Serie A,9,Sun,2022-10-09,20:45,Roma,3.2,2–1,0.3,Lecce,64018,Stadio Olimpico,Alessandro Prontera,/en/matches/6a7ff463/Roma-Lecce-October-9-2022-Serie-A,,6a7ff463
ITA-Serie A,2223,2022-10-09 Salernitana-Hellas Verona,Serie A,9,Sun,2022-10-09,15:00,Salernitana,1.1,2–1,0.9,Hellas Verona,15922,Stadio Arechi,Davide Ghersini,/en/matches/01893b95/Salernitana-Hellas-Verona-October-9-2022-Serie-A,,01893b95
ITA-Serie A,2223,2022-10-09 Torino-Empoli,Serie A,9,Sun,2022-10-09,12:30,Torino,2.4,1–1,0.2,Empoli,16793,Stadio Olimpico di Torino,Francesco Fourneau,/en/matches/880f23f3/Torino-Empoli-October-9-2022-Serie-A,,880f23f3
ITA-Serie A,2223,2022-10-09 Udinese-Atalanta,Serie A,9,Sun,2022-10-09,15:00,Udinese,1.0,2–2,2.1,Atalanta,24671,Dacia Arena,Daniele Doveri,/en/matches/0006415c/Udinese-Atalanta-October-9-2022-Serie-A,,0006415c
ITA-Serie A,2223,2022-10-10 Fiorentina-Lazio,Serie A,9,Mon,2022-10-10,20:45,Fiorentina,2.2,0–4,1.6,Lazio,30574,Stadio Artemio Franchi,Fabio Maresca,/en/matches/91790ad1/Fiorentina-Lazio-October-10-2022-Serie-A,,91790ad1
ITA-Serie A,2223,2022-10-15 Atalanta-Sassuolo,Serie A,10,Sat,2022-10-15,20:45,Atalanta,2.5,2–1,0.8,Sassuolo,17772,Gewiss Stadium,Matteo Marcenaro,/en/matches/4b70032c/Atalanta-Sassuolo-October-15-2022-Serie-A,,4b70032c
ITA-Serie A,2223,2022-10-15 Empoli-Monza,Serie A,10,Sat,2022-10-15,15:00,Empoli,1.8,1–0,1.3,Monza,7258,Stadio Carlo Castellani,Antonio Rapuano,/en/matches/4c8ab4e7/Empoli-Monza-October-15-2022-Serie-A,,4c8ab4e7
ITA-Serie A,2223,2022-10-15 Torino-Juventus,Serie A,10,Sat,2022-10-15,18:00,Torino,0.6,0–1,2.1,Juventus,22269,Stadio Olimpico di Torino,Maurizio Mariani,/en/matches/b183d7de/Torino-Juventus-October-15-2022-Serie-A,,b183d7de
ITA-Serie A,2223,2022-10-16 Hellas Verona-Milan,Serie A,10,Sun,2022-10-16,20:45,Hellas Verona,2.1,1–2,1.9,Milan,22904,Stadio Marc'Antonio Bentegodi,Davide Massa,/en/matches/52018970/Hellas-Verona-Milan-October-16-2022-Serie-A,,52018970
ITA-Serie A,2223,2022-10-16 Inter-Salernitana,Serie A,10,Sun,2022-10-16,12:30,Inter,1.7,2–0,0.4,Salernitana,75452,Stadio Giuseppe Meazza,Juan Sacchi,/en/matches/76b81245/Internazionale-Salernitana-October-16-2022-Serie-A,,76b81245
ITA-Serie A,2223,2022-10-16 Lazio-Udinese,Serie A,10,Sun,2022-10-16,15:00,Lazio,0.8,0–0,0.9,Udinese,45000,Stadio Olimpico,Andrea Colombo,/en/matches/87eec089/Lazio-Udinese-October-16-2022-Serie-A,,87eec089
